25715844 948
24637342 1037
1141538 658
25522501 378
5242227 1347
297582 1497
1370620 634
5239806 605
11887 1593
13806 1588
29877002 857
5482593 545
24587614 1059
5493711 1263
6622071 1152
256959 712
1434119 1358
1128503 1475
1128372 686
254130 723
55227 1570
6610308 1171
24648562 1024
6367539 522
245824 1535
5484990 537
54702 770
24345347 1131
254650 717
6367646 519
6368079 1222
24396970 440
25481386 386
29584421 354
6367669 517
5253883 1321
13699 1590
24396989 439
243403 739
5303309 1294
64054 1560
6420310 497
254134 722
24587484 1064
29593337 911
295547 705
24588023 1056
1425292 1363
295161 706
24395071 1105
297968 1496
29582633 925
1193882 1410
306390 1488
5253382 1327
29836017 861
5303198 1298
5305637 1286
24585198 1071
64050 1561
6368060 1223
29637174 885
24637338 1038
24408734 1075
29877006 856
297558 698
52807 1580
5303714 1292
5294477 558
1425296 1362
1128507 1474
5253386 1326
24648566 1023
25522506 979
65954 1554
295575 1506
6419901 498
1373148 1395
52398 1581
1128391 685
1130811 672
6612835 1158
30963838 816
5303221 1296
1139643 1457
5294482 1304
295571 1507
11385 799
25524811 973
298079 1493
63529 760
29595669 902
24585194 1072
5292577 562
11906 1592
65949 749
1180734 646
25473187 999
1373152 1394
24397486 437
24405928 1084
25765158 367
5294394 1306
29582522 929
5292061 567
242799 746
24356069 453
1382495 1379
245307 732
6662670 1147
24342815 482
25472690 1003
11910 1591
29645480 339
63533 759
24396994 1097
29593229 350
6367563 1227
256467 1520
29634777 891
243320 1546
5303718 1291
5535239 1241
306386 1489
5253362 575
24342834 481
25470766 393
1139620 1459
245303 733
29634256 343
24394681 1107
2562 808
5253879 1322
11799 1594
5546482 1229
29593225 351
30710342 326
24394574 1109
1139638 662
29824750 337
1373561 1391
295551 704
1191870 636
551 815
29646001 880
24395182 1101
24345366 1130
29634368 894
25481902 383
25522418 981
24587503 1063
55222 763
6368190 1218
5294389 559
24394550 451
24637319 1039
24396966 441
5239829 603
6621550 488
6367674 1224
24354086 1123
29582526 928
66451 1549
24637834 405
1141519 659
5485423 1265
29584923 917
25713447 954
25712907 373
254154 1530
1141626 657
24354058 460
25713423 370
245220 1542
25470251 1017
24344826 472
29582502 359
1139619 663
5496126 530
25470655 396
25472560 1008
55223 1571
25713535 953
31004846 2
24342945 477
5482570 547
1141515 660
5545961 523
5242636 1344
29836105 860
24354062 459
1127986 687
5496238 1250
1381863 619
25472583 1006
243315 741
24394661 447
5535234 525
5292057 568
30709846 849
29634238 899
24395178 1102
5485404 1266
308718 1480
5240345 597
639 814
30710347 843
243407 738
14191 785
5239825 604
25481498 994
5537134 524
5485014 1268
29634865 890
242911 1547
24394685 1106
1422899 1371
30709850 848
24408325 1076
11389 798
1422983 1370
24356093 1114
1139727 1456
25483914 985
25533749 965
24408218 1078
1422987 1369
1370755 1405
1381887 1387
6378782 507
5482574 546
1180739 1435
1425403 1360
29584509 353
25712926 372
29593769 906
6610326 492
5240326 598
5303305 1295
5294887 1302
1128484 1476
29584918 352
254543 719
256462 714
6431037 495
5242766 1339
254674 1523
24588111 1055
6663079 1146
30721074 834
24596330 1053
5537655 1234
24596422 1050
297452 1502
25724174 945
6610414 491
6419906 1188
1373557 1392
29825267 872
66447 1550
24344822 473
24596826 411
29647901 879
5534737 527
1373041 1398
6370066 509
1180651 1437
1180238 1441
30709822 330
5240234 601
24596334 1052
24345343 1132
25765679 937
1370727 631
25522910 377
29582006 934
6381723 1193
24355963 1119
30762077 323
65926 751
29827166 333
24397491 1092
29636677 887
1182527 644
29593341 910
1191982 1414
29827687 864
64031 1562
29645504 882
24394657 448
24344734 475
5253990 1319
309215 5
29825271 871
24405798 1089
1373059 622
245847 1533
2451 811
25481405 385
5240322 599
25524815 972
1142059 1445
5535258 1240
30764498 824
1191374 1422
25481517 993
24405821 1087
5242226 592
297972 1495
1191461 637
24356478 452
24356590 1110
254651 1525
5493710 534
24648561 403
24585714 1065
29825378 869
6422215 1181
5253381 574
25522414 982
295166 1509
1434118 607
29825266 334
24585695 1066
11366 800
